"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"rv3ni255smaia1oi263eglluk7";"control";"4";"definite";"pro";-35;2
"rv3ni255smaia1oi263eglluk7";"f";"2";"unfront";"front";11;2
"rv3ni255smaia1oi263eglluk7";"control";"2";"pro";"definite";100;2
"rv3ni255smaia1oi263eglluk7";"f";"5";"no_dm";"dm";65;2
"rv3ni255smaia1oi263eglluk7";"f";"6";"no_dm";"dm";36;2
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"4";"front";"unfront";17;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"6";"no_dm";"dm";31;3
"fm21v16h6mfs3u4kkmc9kduvk5";"control";"3";"definite";"pro";20;3
"fm21v16h6mfs3u4kkmc9kduvk5";"control";"4";"definite";"pro";47;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"7";"no_dm";"dm";49;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"1";"unfront";"front";21;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"5";"no_dm";"dm";56;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"3";"front";"unfront";12;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"8";"dm";"no_dm";-51;3
"fm21v16h6mfs3u4kkmc9kduvk5";"control";"2";"pro";"definite";75;3
"fm21v16h6mfs3u4kkmc9kduvk5";"control";"1";"pro";"definite";71;3
"fm21v16h6mfs3u4kkmc9kduvk5";"f";"2";"unfront";"front";8;3
"gibtnii8fkl12maels8b8ep4d6";"f";"8";"no_dm";"dm";54;3
"gibtnii8fkl12maels8b8ep4d6";"control";"4";"definite";"pro";-58;3
"gibtnii8fkl12maels8b8ep4d6";"f";"4";"front";"unfront";57;3
"gibtnii8fkl12maels8b8ep4d6";"control";"3";"definite";"pro";73;3
"gibtnii8fkl12maels8b8ep4d6";"f";"1";"unfront";"front";-77;3
"gibtnii8fkl12maels8b8ep4d6";"control";"2";"pro";"definite";50;3
"gibtnii8fkl12maels8b8ep4d6";"f";"3";"unfront";"front";57;3
"gibtnii8fkl12maels8b8ep4d6";"f";"6";"no_dm";"dm";69;3
"gibtnii8fkl12maels8b8ep4d6";"f";"5";"dm";"no_dm";-83;3
"gibtnii8fkl12maels8b8ep4d6";"f";"7";"dm";"no_dm";-90;3
"gibtnii8fkl12maels8b8ep4d6";"f";"2";"front";"unfront";75;3
"gibtnii8fkl12maels8b8ep4d6";"control";"1";"pro";"definite";77;3
"i0oeds923dcnas6hup9j8actk2";"f";"6";"dm";"no_dm";68;3
"i0oeds923dcnas6hup9j8actk2";"control";"1";"pro";"definite";93;3
"i0oeds923dcnas6hup9j8actk2";"f";"5";"no_dm";"dm";100;3
"i0oeds923dcnas6hup9j8actk2";"control";"3";"definite";"pro";4;3
"i0oeds923dcnas6hup9j8actk2";"control";"2";"pro";"definite";51;3
"i0oeds923dcnas6hup9j8actk2";"f";"7";"dm";"no_dm";66;3
"i0oeds923dcnas6hup9j8actk2";"f";"3";"unfront";"front";2;3
"i0oeds923dcnas6hup9j8actk2";"control";"4";"definite";"pro";40;3
"i0oeds923dcnas6hup9j8actk2";"f";"1";"front";"unfront";0;3
"i0oeds923dcnas6hup9j8actk2";"f";"4";"unfront";"front";-33;3
"i0oeds923dcnas6hup9j8actk2";"f";"2";"unfront";"front";-30;3
"i0oeds923dcnas6hup9j8actk2";"f";"8";"dm";"no_dm";-43;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"6";"dm";"no_dm";-82;3
"imtgt8l7iffn5uq0rivl5m0026";"control";"3";"definite";"pro";86;3
"imtgt8l7iffn5uq0rivl5m0026";"control";"2";"pro";"definite";60;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"2";"front";"unfront";88;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"1";"unfront";"front";-93;3
"imtgt8l7iffn5uq0rivl5m0026";"control";"1";"pro";"definite";99;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"5";"dm";"no_dm";-82;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"3";"unfront";"front";19;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"7";"no_dm";"dm";54;3
"imtgt8l7iffn5uq0rivl5m0026";"control";"4";"definite";"pro";-90;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"4";"unfront";"front";-98;3
"imtgt8l7iffn5uq0rivl5m0026";"f";"8";"dm";"no_dm";-76;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"1";"front";"unfront";-57;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"8";"no_dm";"dm";16;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"3";"front";"unfront";0;3
"ph5vfk827nm2q4csdfaqctn0b0";"control";"1";"pro";"definite";39;3
"ph5vfk827nm2q4csdfaqctn0b0";"control";"2";"pro";"definite";29;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"2";"unfront";"front";-37;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"6";"no_dm";"dm";37;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"5";"dm";"no_dm";-38;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"4";"unfront";"front";-58;3
"ph5vfk827nm2q4csdfaqctn0b0";"control";"4";"definite";"pro";43;3
"ph5vfk827nm2q4csdfaqctn0b0";"control";"3";"definite";"pro";96;3
"ph5vfk827nm2q4csdfaqctn0b0";"f";"7";"dm";"no_dm";78;3
"sncjoa64ok7vovm86ojncce0p4";"control";"1";"pro";"definite";51;3
"sncjoa64ok7vovm86ojncce0p4";"f";"1";"front";"unfront";44;3
"sncjoa64ok7vovm86ojncce0p4";"f";"6";"no_dm";"dm";40;3
"sncjoa64ok7vovm86ojncce0p4";"f";"8";"no_dm";"dm";54;3
"sncjoa64ok7vovm86ojncce0p4";"control";"4";"definite";"pro";-73;3
"sncjoa64ok7vovm86ojncce0p4";"f";"3";"front";"unfront";67;3
"sncjoa64ok7vovm86ojncce0p4";"f";"7";"dm";"no_dm";-75;3
"sncjoa64ok7vovm86ojncce0p4";"f";"2";"unfront";"front";53;3
"sncjoa64ok7vovm86ojncce0p4";"f";"5";"no_dm";"dm";67;3
"sncjoa64ok7vovm86ojncce0p4";"control";"2";"pro";"definite";71;3
"sncjoa64ok7vovm86ojncce0p4";"control";"3";"definite";"pro";75;3
"sncjoa64ok7vovm86ojncce0p4";"f";"4";"front";"unfront";68;3
"1e7g0t0nne8u6e6ght75rif4l7";"f";"2";"front";"unfront";-72;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"3";"unfront";"front";86;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"6";"no_dm";"dm";56;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"5";"no_dm";"dm";52;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"7";"dm";"no_dm";-85;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"8";"dm";"no_dm";-83;4
"1e7g0t0nne8u6e6ght75rif4l7";"control";"3";"definite";"pro";65;4
"1e7g0t0nne8u6e6ght75rif4l7";"control";"4";"definite";"pro";54;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"4";"unfront";"front";77;4
"1e7g0t0nne8u6e6ght75rif4l7";"control";"2";"pro";"definite";95;4
"1e7g0t0nne8u6e6ght75rif4l7";"f";"1";"unfront";"front";83;4
"1e7g0t0nne8u6e6ght75rif4l7";"control";"1";"pro";"definite";100;4
"5h03sepif3edjki32cp29ps3m4";"f";"6";"dm";"no_dm";-63;4
"5h03sepif3edjki32cp29ps3m4";"f";"8";"no_dm";"dm";100;4
"5h03sepif3edjki32cp29ps3m4";"control";"1";"pro";"definite";76;4
"5h03sepif3edjki32cp29ps3m4";"f";"7";"dm";"no_dm";-11;4
"5h03sepif3edjki32cp29ps3m4";"f";"5";"dm";"no_dm";-78;4
"5h03sepif3edjki32cp29ps3m4";"control";"4";"definite";"pro";100;4
