"id";"target_no";"cond_c";"cond_q";"expec";"list"
"3026gvnis4cqkne9tb1cva17u3";NA;"f14";"q5";"0";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f1";"q1";"8";1
"3026gvnis4cqkne9tb1cva17u3";NA;"f9";"q5";"2";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f8";"q2";"38";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f4";"q4";"8";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f3";"q4";"0";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f9";"q4";"9";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f10";"q2";"0";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f11";"q3";"3";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f2";"q3";"59";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f1";"q4";"49";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f6";"q3";"86";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f5";"q4";"12";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f14";"q1";"100";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f13";"q1";"80";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f12";"q4";"0";1
"3qj8bgr9seisuc0m43bp1pa3f7";NA;"f7";"q3";"0";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f5";"q5";"15";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f2";"q3";"68";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f6";"q2";"36";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f9";"q1";"68";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f3";"q2";"29";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f12";"q1";"89";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f13";"q3";"0";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f1";"q1";"1";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f7";"q1";"16";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f10";"q3";"11";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f14";"q4";"0";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f4";"q2";"17";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f8";"q5";"0";1
"3uhr90kuc4bo4rk172kh4d2su0";NA;"f11";"q5";"0";1
"4rok3rh2od1t648oikmnimpea7";NA;"f3";"q5";"1";1
"4rok3rh2od1t648oikmnimpea7";NA;"f6";"q2";"83";1
"4rok3rh2od1t648oikmnimpea7";NA;"f9";"q2";"94";1
"4rok3rh2od1t648oikmnimpea7";NA;"f14";"q5";"2";1
"4rok3rh2od1t648oikmnimpea7";NA;"f10";"q1";"91";1
"4rok3rh2od1t648oikmnimpea7";NA;"f11";"q2";"91";1
"4rok3rh2od1t648oikmnimpea7";NA;"f13";"q5";"10";1
"4rok3rh2od1t648oikmnimpea7";NA;"f1";"q3";"66";1
"4rok3rh2od1t648oikmnimpea7";NA;"f7";"q5";"0";1
"4rok3rh2od1t648oikmnimpea7";NA;"f5";"q5";"79";1
"4rok3rh2od1t648oikmnimpea7";NA;"f4";"q1";"61";1
"4rok3rh2od1t648oikmnimpea7";NA;"f2";"q5";"86";1
"4rok3rh2od1t648oikmnimpea7";NA;"f12";"q1";"76";1
"4rok3rh2od1t648oikmnimpea7";NA;"f8";"q5";"0";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f12";"q3";"74";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f6";"q2";"47";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f2";"q1";"47";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f5";"q3";"67";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f4";"q5";"0";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f1";"q2";"48";1
"4u2fh3upvpv19cuhtv5glic5v5";NA;"f11";"q5";"0";1
