"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"ckqo80sp830i8fq1s461qdar00";"f";"3";"unfront";"front";100;1
"ckqo80sp830i8fq1s461qdar00";"f";"5";"no_dm";"dm";98;1
"ckqo80sp830i8fq1s461qdar00";"control";"3";"definite";"pro";100;1
"ckqo80sp830i8fq1s461qdar00";"f";"7";"no_dm";"dm";100;1
"ckqo80sp830i8fq1s461qdar00";"f";"2";"front";"unfront";100;1
"ckqo80sp830i8fq1s461qdar00";"f";"6";"dm";"no_dm";-100;1
"ckqo80sp830i8fq1s461qdar00";"control";"2";"definite";"pro";-98;1
"ckqo80sp830i8fq1s461qdar00";"f";"4";"unfront";"front";-100;1
"ckqo80sp830i8fq1s461qdar00";"control";"1";"definite";"pro";-100;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"6";"no_dm";"dm";0;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"7";"dm";"no_dm";-15;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"5";"dm";"no_dm";-84;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"8";"no_dm";"dm";43;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"2";"front";"unfront";87;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"1";"unfront";"front";-80;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"4";"unfront";"front";-35;1
"epr2o0hsrdt4thlk96oo8dkd53";"control";"1";"definite";"pro";-86;1
"epr2o0hsrdt4thlk96oo8dkd53";"control";"4";"definite";"pro";96;1
"epr2o0hsrdt4thlk96oo8dkd53";"control";"3";"definite";"pro";35;1
"epr2o0hsrdt4thlk96oo8dkd53";"control";"2";"definite";"pro";-51;1
"epr2o0hsrdt4thlk96oo8dkd53";"f";"3";"front";"unfront";-19;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"6";"no_dm";"dm";100;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"8";"dm";"no_dm";-100;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"4";"unfront";"front";2;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"1";"unfront";"front";100;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"7";"dm";"no_dm";-100;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"5";"dm";"no_dm";100;1
"i2a0mgo38mnpf148ho1oitepe3";"control";"1";"definite";"pro";-100;1
"i2a0mgo38mnpf148ho1oitepe3";"control";"2";"definite";"pro";-100;1
"i2a0mgo38mnpf148ho1oitepe3";"control";"3";"definite";"pro";100;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"3";"front";"unfront";100;1
"i2a0mgo38mnpf148ho1oitepe3";"f";"2";"unfront";"front";100;1
"i2a0mgo38mnpf148ho1oitepe3";"control";"4";"definite";"pro";100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"7";"dm";"no_dm";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"8";"dm";"no_dm";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"control";"4";"definite";"pro";100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"1";"unfront";"front";100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"3";"front";"unfront";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"2";"unfront";"front";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"control";"2";"definite";"pro";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"4";"unfront";"front";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"5";"no_dm";"dm";100;1
"k6tp1o717v71msrmbi2dg8qo24";"control";"1";"definite";"pro";-100;1
"k6tp1o717v71msrmbi2dg8qo24";"f";"6";"dm";"no_dm";39;1
"k6tp1o717v71msrmbi2dg8qo24";"control";"3";"definite";"pro";100;1
"m5su4sauq2hvnht5gdgavpv9a3";"control";"2";"definite";"pro";-97;1
"m5su4sauq2hvnht5gdgavpv9a3";"f";"6";"dm";"no_dm";-89;1
