"id";"cond_c";"target_no";"condA";"condB";"judgment";"list"
"7hpplls9qb0h35o1a1eaipf2r5";"control";"4";"definite";"pro";100;6
"fhftnmhm67q3dvj8jp2c7ol3o7";"control";"4";"definite";"pro";-100;6
"fhftnmhm67q3dvj8jp2c7ol3o7";"control";"3";"definite";"pro";62;6
"fhftnmhm67q3dvj8jp2c7ol3o7";"control";"2";"definite";"pro";-100;6
"fhftnmhm67q3dvj8jp2c7ol3o7";"control";"1";"definite";"pro";-70;6
"hj98jir8ukoq7quihgachvlfk4";"control";"3";"definite";"pro";-79;6
"hj98jir8ukoq7quihgachvlfk4";"control";"1";"definite";"pro";-34;6
"hj98jir8ukoq7quihgachvlfk4";"control";"4";"definite";"pro";5;6
"hj98jir8ukoq7quihgachvlfk4";"control";"2";"definite";"pro";-37;6
"tvbj3e26kc9o4ee417k9ncpj27";"control";"1";"definite";"pro";-54;6
"tvbj3e26kc9o4ee417k9ncpj27";"control";"2";"definite";"pro";-91;6
"tvbj3e26kc9o4ee417k9ncpj27";"control";"3";"definite";"pro";-80;6
"tvbj3e26kc9o4ee417k9ncpj27";"control";"4";"definite";"pro";-75;6
"tc72aetro5onkedjjqd88pvk35";"control";"4";"definite";"pro";56;7
"tc72aetro5onkedjjqd88pvk35";"control";"1";"definite";"pro";99;7
"tc72aetro5onkedjjqd88pvk35";"control";"2";"definite";"pro";-100;7
"tc72aetro5onkedjjqd88pvk35";"control";"3";"definite";"pro";88;7
"7l4bvtorfjt53sdaai6d10ai34";"control";"1";"definite";"pro";-81;8
"7l4bvtorfjt53sdaai6d10ai34";"control";"2";"definite";"pro";-34;8
"7l4bvtorfjt53sdaai6d10ai34";"control";"4";"definite";"pro";-1;8
"7l4bvtorfjt53sdaai6d10ai34";"control";"3";"definite";"pro";-100;8
"c9unlsbjncaimprrlddeeenu62";"control";"3";"definite";"pro";-88;8
"c9unlsbjncaimprrlddeeenu62";"control";"2";"definite";"pro";-77;8
"c9unlsbjncaimprrlddeeenu62";"control";"1";"definite";"pro";-16;8
"c9unlsbjncaimprrlddeeenu62";"control";"4";"definite";"pro";-67;8
"e3knau885h3c4ppgcv46jem981";"control";"2";"definite";"pro";-100;8
"e3knau885h3c4ppgcv46jem981";"control";"3";"definite";"pro";-100;8
"e3knau885h3c4ppgcv46jem981";"control";"4";"definite";"pro";100;8
"e3knau885h3c4ppgcv46jem981";"control";"1";"definite";"pro";-100;8
"orfihamld33ibqbrqr5ho6prg3";"control";"4";"definite";"pro";-100;8
"orfihamld33ibqbrqr5ho6prg3";"control";"2";"definite";"pro";-100;8
"orfihamld33ibqbrqr5ho6prg3";"control";"3";"definite";"pro";100;8
"orfihamld33ibqbrqr5ho6prg3";"control";"1";"definite";"pro";-100;8
