"id";"target_no";"cond_c";"cond_q";"expec";"list"
"cu9f77f0qjn23sdp3n0jgtm6n6";"t7";"c3";"pq1";23;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t9";"c1";"pq3";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t11";"c1";"pq1";78;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t6";"c3";"pq3";74;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t1";"c3";"pq3";94;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t8";"c3";"pq1";10;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t4";"c3";"then";23;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t15";"c1";"then";49;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t14";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t13";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t3";"c3";"then";26;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t12";"c1";"pq2";18;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t16";"c1";"pq2";27;1
"tn95f8g8dee2ptbj2k0428sfl4";"t4";"c1";"pq1";39;2
"tn95f8g8dee2ptbj2k0428sfl4";"t16";"c3";"then";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t14";"c3";"pq3";83;2
"tn95f8g8dee2ptbj2k0428sfl4";"t11";"c3";"pq1";8;2
"tn95f8g8dee2ptbj2k0428sfl4";"t13";"c3";"pq1";15;2
"tn95f8g8dee2ptbj2k0428sfl4";"t5";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t7";"c1";"pq1";33;2
"tn95f8g8dee2ptbj2k0428sfl4";"t12";"c3";"pq1";24;2
"tn95f8g8dee2ptbj2k0428sfl4";"t15";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t1";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t3";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t8";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t10";"c3";"pq1";8;2
"tn95f8g8dee2ptbj2k0428sfl4";"t6";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t9";"c3";"then";10;2
"tn95f8g8dee2ptbj2k0428sfl4";"t2";"c1";"pq3";2;2
"cu9f77f0qjn23sdp3n0jgtm6n6";"t5";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t2";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t10";"c1";"pq1";58;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t7";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t9";"c1";"then";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t11";"c1";"then";24;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t6";"c3";"irr";15;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t1";"c3";"pq2";28;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t8";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t4";"c3";"pq3";88;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t15";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t14";"c1";"pq2";73;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t13";"c1";"then";13;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t3";"c3";"pq3";90;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t12";"c1";"then";8;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t16";"c1";"pq3";3;1
"tn95f8g8dee2ptbj2k0428sfl4";"t4";"c1";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t16";"c3";"pq3";84;2
"tn95f8g8dee2ptbj2k0428sfl4";"t14";"c3";"pq2";7;2
"tn95f8g8dee2ptbj2k0428sfl4";"t11";"c3";"pq2";2;2
"tn95f8g8dee2ptbj2k0428sfl4";"t13";"c3";"pq3";81;2
"tn95f8g8dee2ptbj2k0428sfl4";"t5";"c1";"pq1";77;2
"tn95f8g8dee2ptbj2k0428sfl4";"t7";"c1";"pq2";46;2
"tn95f8g8dee2ptbj2k0428sfl4";"t12";"c3";"then";12;2
"tn95f8g8dee2ptbj2k0428sfl4";"t15";"c3";"pq3";44;2
"tn95f8g8dee2ptbj2k0428sfl4";"t1";"c1";"pq3";3;2
"tn95f8g8dee2ptbj2k0428sfl4";"t3";"c1";"pq1";78;2
"tn95f8g8dee2ptbj2k0428sfl4";"t8";"c1";"pq1";16;2
"tn95f8g8dee2ptbj2k0428sfl4";"t10";"c3";"irr";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t6";"c1";"pq1";51;2
"tn95f8g8dee2ptbj2k0428sfl4";"t9";"c3";"pq1";28;2
"tn95f8g8dee2ptbj2k0428sfl4";"t2";"c1";"irr";0;2
"cu9f77f0qjn23sdp3n0jgtm6n6";"t5";"c3";"pq3";73;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t2";"c3";"pq3";79;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t10";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t7";"c3";"pq2";78;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t9";"c1";"pq1";44;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t11";"c1";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t6";"c3";"pq1";64;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t1";"c3";"irr";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t8";"c3";"pq3";85;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t4";"c3";"pq2";66;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t15";"c1";"pq2";66;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t14";"c1";"pq3";0;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t13";"c1";"pq1";83;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t3";"c3";"pq1";11;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t12";"c1";"pq1";64;1
"cu9f77f0qjn23sdp3n0jgtm6n6";"t16";"c1";"pq1";84;1
"tn95f8g8dee2ptbj2k0428sfl4";"t4";"c1";"pq2";36;2
"tn95f8g8dee2ptbj2k0428sfl4";"t16";"c3";"pq1";15;2
"tn95f8g8dee2ptbj2k0428sfl4";"t14";"c3";"then";29;2
"tn95f8g8dee2ptbj2k0428sfl4";"t11";"c3";"pq3";84;2
"tn95f8g8dee2ptbj2k0428sfl4";"t13";"c3";"pq2";4;2
"tn95f8g8dee2ptbj2k0428sfl4";"t5";"c1";"pq2";5;2
"tn95f8g8dee2ptbj2k0428sfl4";"t7";"c1";"then";34;2
"tn95f8g8dee2ptbj2k0428sfl4";"t12";"c3";"pq2";52;2
"tn95f8g8dee2ptbj2k0428sfl4";"t15";"c3";"pq2";89;2
"tn95f8g8dee2ptbj2k0428sfl4";"t1";"c1";"pq1";24;2
"tn95f8g8dee2ptbj2k0428sfl4";"t3";"c1";"pq3";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t8";"c1";"pq3";0;2
"tn95f8g8dee2ptbj2k0428sfl4";"t10";"c3";"pq2";2;2
"tn95f8g8dee2ptbj2k0428sfl4";"t6";"c1";"pq2";4;2
"tn95f8g8dee2ptbj2k0428sfl4";"t9";"c3";"pq3";1;2
"tn95f8g8dee2ptbj2k0428sfl4";"t2";"c1";"pq1";2;2
